date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:07	223896/223896	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2329-36a98%22	http://lambert.kwst.net/site/images/slider/1.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/slider/1.jpg	(from http://lambert.kwst.net/site/index.html)
12:06:08	20475/20475	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2367-4ffb%22	http://lambert.kwst.net/site/images/team/thumbnails/2.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/team/thumbnails/2.jpg	(from http://lambert.kwst.net/site/index.html)
12:06:08	1490/1490	---M--	200	added ('OK')	text/html	etag:%22554de36c-5d2%22	http://lambert.kwst.net/site/team/mem4.html	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/team/mem4.html	(from http://lambert.kwst.net/site/index.html)
12:06:09	17099/17099	---M--	200	added ('OK')	image/jpeg	etag:%225d2c2369-42cb%22	http://lambert.kwst.net/site/images/team/thumbnails/3.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/team/thumbnails/3.jpg	(from http://lambert.kwst.net/site/index.html)
12:06:11	25507/25507	---M--	200	added ('OK')	image/jpeg	etag:%225d2c236c-63a3%22	http://lambert.kwst.net/site/images/team/thumbnails/4.jpg	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/images/team/thumbnails/4.jpg	(from http://lambert.kwst.net/site/index.html)
12:06:13	22977/22977	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264cb8cad-59c1%22	http://lambert.kwst.net/site/js/scripts.js	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/js/scripts.js	(from http://lambert.kwst.net/site/index.html)
12:06:17	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe068c9-15d84%22	http://lambert.kwst.net/site/js/jquery.min.js	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/js/jquery.min.js	(from http://lambert.kwst.net/site/index.html)
12:06:21	199819/199819	---MCZ	200	added ('OK')	application/javascript	etag:W/%226443e207-30c8b%22	http://lambert.kwst.net/site/js/plugins.js	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/js/plugins.js	(from http://lambert.kwst.net/site/index.html)
12:06:23	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2254d4928e-ed5f%22	http://lambert.kwst.net/site/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/fonts/fontawesome-webfont3e6e.eot	(from http://lambert.kwst.net/site/css/plugins.css)
12:06:27	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2254d4928e-ed5f%22	http://lambert.kwst.net/site/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/fonts/fontawesome-webfontd41d.eot	(from http://lambert.kwst.net/site/css/plugins.css)
12:06:30	56780/56780	---M--	200	added ('OK')	font/woff2	etag:%2254d4928c-ddcc%22	http://lambert.kwst.net/site/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/fonts/fontawesome-webfont3e6e.woff2	(from http://lambert.kwst.net/site/css/plugins.css)
12:06:35	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254d4928e-4c836%22	http://lambert.kwst.net/site/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/cafe/lambert.kwst.net/site/fonts/fontawesome-webfont3e6e.svg	(from http://lambert.kwst.net/site/css/plugins.css)
